번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
14444,1132000000,서울특별시,도봉구,학교,창일중학교,서울특별시 도봉구 노해로66길 60(창동),367,127.04668,37.64875,204119.3441,561014.8694,안전
14405,1132000000,서울특별시,도봉구,학교,서울방학초등학교,서울특별시 도봉구 도당로9길 34(방학동),2701,127.03206,37.66392,202828.4586,562697.9483,안전
14402,1132000000,서울특별시,도봉구,학교,신방학중학교,서울특별시 도봉구 시루봉로 156(방학동),225,127.02941,37.66393,202595.207,562698.9507,안전
14406,1132000000,서울특별시,도봉구,학교,방학중학교,서울특별시 도봉구 시루봉로 188(방학동),306,127.03179,37.66547,202804.7277,562869.8762,안전
14446,1132000000,서울특별시,도봉구,학교,서울자운초등학교,서울특별시 도봉구 마들로13길 166(창동),3932,127.04656,37.65761,204108.8061,561998.1975,안전
14445,1132000000,서울특별시,도봉구,학교,서울창림초등학교,서울특별시 도봉구 덕릉로63길 46(창동),4559,127.04146,37.64318,203659.4196,560396.6121,안전
14370,1132000000,서울특별시,도봉구,학교,도봉중학교,서울특별시 도봉구 마들로 671(도봉동),438,127.04567,37.67056,204029.2751,563434.8883,긴급
14403,1132000000,서울특별시,도봉구,학교,서울창도초등학교,서울특별시 도봉구 방학로 32-28 (방학동),204,127.04951,37.66369,204368.4527,562673.4999,긴급
14404,1132000000,서울특별시,도봉구,학교,도봉 문화고등학교,서울특별시 도봉구 마들로 598(방학동),582,127.04708,37.66345,204154.1145,562646.3546,긴급
14443,1132000000,서울특별시,도봉구,학교,서울창원초등학교,서울특별시 도봉구 해등로 103(창동),2643,127.04059,37.65236,203581.9824,561414.8235,긴급
14340,1132000000,서울특별시,도봉구,학교,자운고등학교,서울특별시 도봉구 노해로69길 150(창동),5141,127.05067,37.65909,204471.2315,562162.6906,긴급
14447,1132000000,서울특별시,도봉구,학교,서울가인초등학교,서울특별시 도봉구 도봉로136다길 4(창동),3750,127.04354,37.6601,203841.4082,562274.1724,안전
14371,1132000000,서울특별시,도봉구,학교,서울오봉초등학교,서울특별시 도봉구 시루봉로 285(도봉동),2951,127.04036,37.67166,203560.5069,563557.7016,긴급
14374,1132000000,서울특별시,도봉구,기타시설,럭스모텔,서울특별시 도봉구 도봉로 739(도봉동),10,127.04371,37.671,203856.5866,563483.7183,긴급
14375,1135000000,서울특별시,노원구,학교,녹천초등학교,서울특별시 노원구 마들로3길 34(월계동),550,127.06325,37.62893,205582.9586,558815.8476,안전
14338,1132000000,서울특별시,도봉구,학교,창동고등학교,서울특별시 도봉구 노해로62길 7(창동),574,127.0388,37.65096,203424.3482,561260.1112,긴급
14378,1135000000,서울특별시,노원구,학교,신창중학교,서울특별시 노원구 월계로45길 92(월계동),240,127.04753,37.62803,204195.6185,558715.2559,안전
